product_name,description,brand,rating,image_url,link
The Ordinary Natural Moisturizing Factors + HA 100ml,Deeply moisturise thirsty skin with the ,The Ordinary,4.38,https://static.thcdn.com/images/large/original/productimg/1600/1600/11638505-1374554512132904.jpg,https://www.lookfantastic.com/the-ordinary-natural-moisturizing-factors-ha-100ml/11638505.html
The Ordinary Natural Moisturising Factors + HA 30ml,"Effectively hydrate skin with The Ordinary Natural Moisturising Factors + HA; a non-greasy moisturiser that supplements skin with a selection of Natural Moisturising Factors to help protect and nourish. Glycerine and molecular weight Hyaluronic Acid quench dryness, while essential amino and fatty acids replenish the lipid layer for improved water retention. A complex blend of phospholipids, triglycerides and saccharides ensure long-lasting results for skin that feels smooth, soft and supple.",The Ordinary,4.55,https://static.thcdn.com/images/large/original//productimg/1600/1600/11396687-5114817633423328.jpg,https://www.lookfantastic.com/the-ordinary-natural-moisturising-factors-ha-30ml/11396687.html
CeraVe Smoothing Cream 177ml," is an intensely moisturising formula designed to combat a variety of skin concerns, including unwanted bumps, scaliness and extreme dryness. Replenishing and non-irritating, the rich cream is packed with essential ingredients to benefit both face and body.",CeraVe,4.31,https://static.thcdn.com/images/large/original//productimg/1600/1600/12207665-5314768662560220.jpg,https://www.lookfantastic.com/cerave-smoothing-cream-177ml/12207665.html
CeraVe Facial Moisturising Lotion SPF 25 52ml,Protect your skin with ,CeraVe,4.27,https://static.thcdn.com/images/large/original//productimg/1600/1600/11798689-6104774892950815.jpg,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-spf-25-52ml/11798689.html
CeraVe Facial Moisturising Lotion No SPF 52ml,Quench thirsty skin with ,CeraVe,4.69,https://static.thcdn.com/images/large/original/productimg/1600/1600/11798688-1194696099173549.jpg,https://www.lookfantastic.com/cerave-facial-moisturising-lotion-no-spf-52ml/11798688.html
The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula 30ml,Recharge and rehydrate your complexion with the ,The Ordinary,4.7,https://static.thcdn.com/images/large/original//productimg/1600/1600/11363395-8324817633335596.jpg,https://www.lookfantastic.com/the-ordinary-hyaluronic-acid-2-b5-hydration-support-formula-30ml/11363395.html
CeraVe Moisturising Lotion 473ml,"Quench dry, dehydrated skin with the ",CeraVe,4.83,https://static.thcdn.com/images/large/original//productimg/1600/1600/11798695-3274774893056304.jpg,https://www.lookfantastic.com/cerave-moisturising-lotion-473ml/11798695.html
CeraVe Moisturising Cream 454g,Envelope your skin in the replenishing powers of the ,CeraVe,4.71,https://static.thcdn.com/images/large/original/productimg/1600/1600/11798691-6724686227473584.jpg,https://www.lookfantastic.com/cerave-moisturising-cream-454g/11798691.html
CeraVe Moisturising Cream 50ml,"Restore dry, uncomfortable skin with ",CeraVe,4.55,https://static.thcdn.com/images/large/original/productimg/1600/1600/11798694-1624686227836986.jpg,https://www.lookfantastic.com/cerave-moisturising-cream-50ml/11798694.html
CeraVe Moisturising Cream 340g,"Restore dry, uncomfortable skin with ",CeraVe,4.57,https://static.thcdn.com/images/large/original/productimg/1600/1600/11798692-1984615467746271.jpg,https://www.lookfantastic.com/cerave-moisturising-cream-340g/11798692.html
,description,brand,rating,image_url,https://www.lookfantastic.com/ameliorate-transforming-body-lotion-200ml/12673785.html
First Aid Beauty Ultra Repair Cream (56.7g),"Enriched with shea butter, eucalyptus, oatmeal and ceramides, First Aid Beauty Ultra Repair Cream (56.7g) brings immediate comfort to tired, itchy and flaky skin. Better still, the antioxidant element of this moisturising formula also provides protection against free radical damage. This body and face cream is ideal for anyone who suffers from allergic eczema, psoriasis, atopic dermatitis and many other minor skin irritations. It is safe for use on sensitive skin and contains no parabens, colourants or harsh chemicals. First Aid Beauty Ultra Repair Cream will rehydrate your skin, calm areas of discomfort, and improve the appearance of scaly, dry patches. Use as required.",First Aid Beauty,4.54,https://static.thcdn.com/images/large/original//productimg/1600/1600/11054496-4394827962703366.jpg,https://www.lookfantastic.com/first-aid-beauty-ultra-repair-cream-56.7g/11054496.html
Clinique Dramatically Different Moisturising Lotion+ 125ml with Pump,Treat your skin to ,Clinique,4.45,https://static.thcdn.com/images/large/original/productimg/1600/1600/11144716-1234617742859979.jpg,https://www.lookfantastic.com/clinique-dramatically-different-moisturizing-lotion-125ml-with-pump/11144716.html
Clinique Moisture Surge 72 Hour Moisturiser 75ml (Worth £46.00),Give your skin an extra layer of much-needed hydration with the ,Clinique,4.88,https://static.thcdn.com/images/large/original//productimg/1600/1600/12506978-3444773348840063.jpg,https://www.lookfantastic.com/clinique-moisture-surge-72-hour-moisturiser-75ml/12506978.html
Weleda Skin Food (75ml),"One of the beauty industry’s best kept secrets, Weleda Skin Food is a nourishing treatment for the whole body that reams of A-listers swear by. Racking up multiple awards, this nourishing product refreshes the skin keeping it protected from the elements.",Weleda,4.61,https://static.thcdn.com/images/large/original//productimg/1600/1600/10540680-1584866125211771.jpg,https://www.lookfantastic.com/weleda-skin-food-75ml/10540680.html
Avène Antirougeurs Jour Redness Relief Moisturizing Protecting Cream (40ml),"Deeply hydrate skin with the Antirougeurs Jour Redness Relief Moisturizing Protecting Cream from Avène, specialists in gentle and sensitive skin care. Its unique formula contains green pigments to help diffuse skin colour and boost micro-circulation, reducing facial redness and providing a cooling sensation for long-lasting comfort. With SPF20, the moisturiser protects skin from harmful UV rays and environmental stresses to prevent irritation. Suitable for normal to dry sensitive skin, the lightweight emulsion contains the brand's Thermal Spring Water to leave skin relieved and calm. E.N.",Avene,4.4,https://static.thcdn.com/images/large/original//productimg/1600/1600/11117577-1204786221784362.jpg,https://www.lookfantastic.com/avene-antirougeurs-jour-redness-relief-moisturizing-protecting-cream-40ml/11117577.html
Embryolisse Lait-Crème Concentré (75ml),"Embryolisse Lait-Crème Concentré is a three-in-one moisturising lotion, primer and make-up remover. Its rich formula contains essential fatty acids and vitamins to reduce irritation especially after shaving and plump skin for firmer results.",Embryolisse,4.8,https://static.thcdn.com/images/large/original/productimg/1600/1600/11118731-4587585830596831.jpg,https://www.lookfantastic.com/embryolisse-lait-creme-concentre-75ml/11118731.html
JASON Aloe Vera 98% Moisturising Gel Tube 113g,"One of nature’s finest moisturisers, this highly concentrated, JASON Aloe Vera 98% Moisturising Gel is non-oily and penetrating, making it a fantastic daily moisturiser for your entire body.",JASON,3.95,https://static.thcdn.com/images/large/original/productimg/1600/1600/10546528-1774628189971536.jpg,https://www.lookfantastic.com/jason-aloe-vera-98-moisturising-gel-tube-113g/10546528.html
Egyptian Magic All Purpose Skin Cream 118ml/4oz,"A professional formula comprising six of nature’s most moisturising and reparative ingredients, the",Egyptian Magic,4.57,https://static.thcdn.com/images/large/original/productimg/1600/1600/10407207-9145505519139978.jpg,https://www.lookfantastic.com/egyptian-magic-all-purpose-skin-cream-118ml-4oz/10407207.html
